scilifelab_id	detailed_name	from_sample_tissue	tissue	organ_name	organ_short_name	color	organ_order	tissue_order	organ_color	comment_260126	keep_260126
E100006698_80	colon	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006698_1	colon	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006697_79	colon	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2	Has pancreas genes	FALSE
E100006702_85	rectum	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006702_67	rectum	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006702_64	rectum	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006701_67	rectum	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006701_60	rectum	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006700_60	rectum	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006703_29	duodenum	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006701_29	duodenum	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006700_82	duodenum	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006698_76	duodenum	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2	Has pancreas genes	FALSE
E100006698_74	duodenum	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2	Has pancreas genes	FALSE
E100006697_29	duodenum	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006695_29	duodenum	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006702_57	liver (lobe 1)	liver (lobe 1)	liver	Liver & gallbladder	Liver & Gallbladder	#D1CBE5	7	125	#38999B		
E100006701_36	liver (lobe 1)	liver (lobe 1)	liver	Liver & gallbladder	Liver & Gallbladder	#D1CBE5	7	125	#38999B		
E100006699_41	liver (lobe 1)	liver (lobe 1)	liver	Liver & gallbladder	Liver & Gallbladder	#D1CBE5	7	125	#38999B		
E100006697_15	liver (lobe 1)	liver (lobe 1)	liver	Liver & gallbladder	Liver & Gallbladder	#D1CBE5	7	125	#38999B		
E100006703_37	liver (lobe 4)	liver (lobe 4)	liver	Liver & gallbladder	Liver & Gallbladder	#D1CBE5	7	126	#38999B		
E100006701_37	liver (lobe 4)	liver (lobe 4)	liver	Liver & gallbladder	Liver & Gallbladder	#D1CBE5	7	126	#38999B		
